geo_id,name,median_rent,median_income,total_renters,pct_burdened,tract,county,rent_to_income
1400000US17031081201,Census Tract 812.01; Cook County; Illinois,2448.0,122659.0,1595,34.9,812.01,Cook County,23.9
1400000US17031081202,Census Tract 812.02; Cook County; Illinois,2726.0,154569.0,682,21.6,812.02,Cook County,21.2
1400000US17031081300,Census Tract 813; Cook County; Illinois,1858.0,108625.0,1860,36.6,813,Cook County,20.5
1400000US17031081401,Census Tract 814.01; Cook County; Illinois,2054.0,83292.0,990,42.2,814.01,Cook County,29.6
1400000US17031081402,Census Tract 814.02; Cook County; Illinois,2966.0,170333.0,2752,39.8,814.02,Cook County,20.9
1400000US17031081403,Census Tract 814.03; Cook County; Illinois,2472.0,110327.0,5633,52.4,814.03,Cook County,26.9
1400000US17031081500,Census Tract 815; Cook County; Illinois,2495.0,134320.0,1725,36.2,815,Cook County,22.3
1400000US17031081600,Census Tract 816; Cook County; Illinois,2742.0,145500.0,2189,27.5,816,Cook County,22.6
1400000US17031081700,Census Tract 817; Cook County; Illinois,2497.0,142821.0,2966,34.1,817,Cook County,21.0
1400000US17031081800,Census Tract 818; Cook County; Illinois,2736.0,147354.0,4595,34.9,818,Cook County,22.3
1400000US17031081900,Census Tract 819; Cook County; Illinois,3355.0,225694.0,433,29.8,819,Cook County,17.8
1400000US17031090100,Census Tract 901; Cook County; Illinois,1382.0,140194.0,165,46.7,901,Cook County,11.8
1400000US17031090200,Census Tract 902; Cook County; Illinois,1543.0,127384.0,608,41.6,902,Cook County,14.5
1400000US17031090300,Census Tract 903; Cook County; Illinois,1313.0,116438.0,107,60.7,903,Cook County,13.5
1400000US17031100100,Census Tract 1001; Cook County; Illinois,1486.0,114536.0,299,38.8,1001,Cook County,15.6
1400000US17031100200,Census Tract 1002; Cook County; Illinois,1662.0,94167.0,891,30.2,1002,Cook County,21.2
1400000US17031100300,Census Tract 1003; Cook County; Illinois,2115.0,95441.0,907,54.8,1003,Cook County,26.6
1400000US17031100500,Census Tract 1005; Cook County; Illinois,1577.0,128688.0,164,29.3,1005,Cook County,14.7
1400000US17031100600,Census Tract 1006; Cook County; Illinois,1225.0,78689.0,430,42.8,1006,Cook County,18.7
